day_of_year,temp_C,anomaly_C
343.000000,2.000000,0.060000
344.000000,1.400000,-0.410000
345.000000,1.600000,-0.196667
346.000000,1.600000,-0.170000
347.000000,1.600000,-0.133333
348.000000,1.700000,-0.066667
349.000000,2.400000,0.653333
350.000000,0.100000,-1.670000
351.000000,2.000000,0.223333
352.000000,1.000000,-0.663333
353.000000,2.600000,0.926667
354.000000,2.500000,0.773333
355.000000,-0.100000,-1.920000
356.000000,1.200000,-0.700000
357.000000,-0.300000,-2.080000
358.000000,0.300000,-1.393333
359.000000,1.900000,0.220000
360.000000,3.800000,2.113333
361.000000,2.800000,1.113333
362.000000,3.800000,2.113333
363.000000,2.500000,0.813333
364.000000,1.600000,-0.083333
